1.483000255238679E+08  2.088988049988999E+07    -4.631466823373149E+00	 2.937873876402188E+01
7.632790426320188E+07	 7.600289527075169E+08  -1.316685201866987E+01	1.916037949939645E+00
-1.090148758651237E+09	8.373211130096202E+08   -6.417354269761422E+00	-7.687162338238311E+00
